SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
05/01/2022 02:54:13PM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
,,,,,,,,,,,,,
252,6,1145880,4/20/2022,10:47:42AM,R302002,MERR302002,$0.32 ,10,$0.50 ,$5.00 ,$1.80 ,MER,AP
1637,64,1143310,4/4/2022,08:04:51AM,EW2461,ECCEW2461,$48.76 ,1,$74.22 ,$74.22 ,$25.46 ,ECC,AP
1637,64,1143310,4/4/2022,08:04:51AM,R955284358N,MERR955284358N,$18.01 ,1,$32.68 ,$32.68 ,$14.67 ,MER,AP
1637,64,1143310,4/4/2022,08:04:51AM,84-9671,GRC84-9671,$9.60 ,-1,$13.73 ,($13.73),($4.13),GRC,A
1637,64,1143310,4/4/2022,08:04:51AM,107509X,MID107509X,$276.23 ,1,$453.94 ,$453.94 ,$177.71 ,MID,AP
1637,64,1143310,4/4/2022,08:04:51AM,55208,SEL55208,$10.45 ,1,$16.94 ,$16.94 ,$6.49 ,SEL,AP
D4634,95,628675,4/25/2022,10:05:14AM,E-UB5161-14,EUCE-UB5161-14,$9.68 ,2,$12.86 ,$25.72 ,$6.36 ,EUC,AP
D4634,95,628675,4/25/2022,10:05:14AM,MRK4515FX3H2,MERMRK4515FX3H23V,$32.75 ,2,$43.59 ,$87.18 ,$21.68 ,MER,AP
7884,74,1145602,4/19/2022,,R41F10G,WIXR41F10G,$32.28 ,1,$47.48 ,$47.48 ,$15.20 ,WIX,A
5860,54,1144226,4/9/2022,09:02:55AM,24107,WIX24107,$29.43 ,1,$43.68 ,$43.68 ,$14.25 ,WIX,AP
D7320-1,129,627393,4/13/2022,02:15:34PM,60724-0808,AGA60724-0808,$2.82 ,1,$7.00 ,$7.00 ,$4.18 ,AGA,A
6402-1,15,1145236,4/15/2022,01:11:03PM,47697,SKF47697,$29.68 ,6,$38.82 ,$232.92 ,$54.84 ,SKF,AP
D7320-1,129,627393,4/13/2022,02:15:34PM,G25230-0808X,GATG25230-0808X,$7.00 ,1,$12.14 ,$12.14 ,$5.14 ,GAT,AP
D7320-1,129,627393,4/13/2022,02:15:34PM,70283,GAT70283,$3.05 ,5,$6.32 ,$31.60 ,$16.35 ,GAT,A
D7320-1,129,627393,4/13/2022,02:15:34PM,G25225-0808,GATG25225-0808,$7.50 ,1,$13.42 ,$13.42 ,$5.92 ,GAT,AP
564-1,4,1147014,4/27/2022,09:21:48AM,EEX-2054,PAIEEX-2054,$122.00 ,2,$140.30 ,$280.60 ,$36.60 ,PAI,APQ
564-1,4,1147014,4/27/2022,09:21:48AM,EEX-1848,PAIEEX-1848,$193.78 ,1,$222.85 ,$222.85 ,$29.07 ,PAI,APQ
564-1,4,1147014,4/27/2022,09:21:48AM,EM38820,EXCEM38820,$208.00 ,1,$239.20 ,$239.20 ,$31.20 ,EXC,APQ
1425-1,6,1146186,4/21/2022,10:05:48AM,5526-16X25BL,FFB5526-16X25BLU,$71.60 ,1,$139.59 ,$139.59 ,$67.99 ,FFB,A
1425-1,6,1146186,4/21/2022,10:05:48AM,33578,GAT33578,$15.57 ,1,$27.47 ,$27.47 ,$11.90 ,GAT,AP
1585,15,1146705,4/25/2022,04:05:27PM,5262,TAC5262,$257.54 ,1,$363.93 ,$363.93 ,$106.39 ,TAC,AP
D0851,129,627686,4/15/2022,12:34:45PM,JD-7000-S,GTAJD-7000-S,$55.72 ,1,$81.52 ,$81.52 ,$25.80 ,GTA,AP
D2468,69,628114,4/20/2022,,WL10106,WIXWL10106,$19.06 ,1,$20.35 ,$20.35 ,$1.29 ,WIX,A
D1937,127,628895,4/26/2022,02:31:08PM,WF10564,WIXWF10564,$29.80 ,-1,$35.02 ,($35.02),($5.22),WIX,A
D1937,127,628895,4/26/2022,02:31:08PM,51748XD,WIX51748XD,$35.32 ,-1,$40.94 ,($40.94),($5.62),WIX,A
D1937,127,628895,4/26/2022,02:31:08PM,33604,WIX33604,$27.12 ,-1,$30.69 ,($30.69),($3.57),WIX,A
3487-2,4,1146769,4/26/2022,03:15:57PM,V4D1S00BAZ00,SPOV4D1S00BAZ00000,$14.25 ,5,$21.37 ,$106.85 ,$35.60 ,SPO,APQT
3540,111,1145339,4/18/2022,08:40:07AM,760-5202,DOR760-5202,$26.70 ,1,$40.05 ,$40.05 ,$13.35 ,DOR,A
578,15,1146139,4/21/2022,11:59:55AM,400FSC2,KLR400FSC2,$0.31 ,25,$1.08 ,$27.00 ,$19.25 ,KLR,AP
D6200-1,123,626543,4/7/2022,07:32:41AM,R307852,MERR307852,$9.21 ,2,$17.40 ,$34.80 ,$16.38 ,MER,A
3540,111,1145339,4/18/2022,08:40:07AM,S-20668,SASS-20668,$0.00 ,1,$57.11 ,$57.11 ,$57.11 ,SAS,AP
578,15,1146139,4/21/2022,11:59:55AM,54SN,KLR54SN,$0.53 ,25,$2.73 ,$68.25 ,$55.00 ,KLR,AP
9248,15,1145722,4/19/2022,12:41:57PM,45583,GRC45583,$17.94 ,2,$25.51 ,$51.02 ,$15.14 ,GRC,AP
2080,!WEB,1145861,4/20/2022,,33849,WIX33849,$63.34 ,2,$68.10 ,$136.20 ,$9.52 ,WIX,A
2080,!WEB,1145861,4/20/2022,,A02A60T,WIXA02A60T,$36.79 ,,$53.07 ,,,WIX,A
D3250-1,95,628190,4/20/2022,10:18:37AM,29544297,SPO29544297,$62.71 ,2,$87.32 ,$174.64 ,$49.22 ,SPO,APQT
D3250-1,95,628190,4/20/2022,10:18:37AM,295418987,SPO295418987,$58.29 ,2,$75.89 ,$151.78 ,$35.20 ,SPO,APQT
9694,54,1144642,4/12/2022,12:35:49PM,220,SPO220,$550.00 ,1,$770.00 ,$770.00 ,$220.00 ,SPO,APQT
