SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
03/01/2022 12:01:25PM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
,,,,,,,,,,,,,
D9840-1,129,619748,2/9/2022,01:10:34PM,84-5000,GRC84-5000,$1.28 ,1,$2.19 ,$2.19 ,$0.91 ,GRC,AP
D9840-1,129,619748,2/9/2022,01:10:34PM,BLKFT-075X15,KOABLKFT-075X15,$26.61 ,1,$37.16 ,$37.16 ,$10.55 ,KOA,AP
146,6,1135574,2/16/2022,03:45:04PM,57398,WIX57398,$7.16 ,2,$6.24 ,$12.48 ,($1.84),WIX,A
5860,15,1134599,2/10/2022,10:36:00AM,S-25463,SASS-25463,$0.00 ,1,$61.05 ,$61.05 ,$61.05 ,SAS,AP
D711,129,620134,2/12/2022,10:45:43AM,G25170-0808X,GATG25170-0808X,$5.52 ,1,$9.70 ,$9.70 ,$4.18 ,GAT,AP
D711,129,620134,2/12/2022,10:45:43AM,70283,GAT70283,$3.05 ,2,$6.12 ,$12.24 ,$6.14 ,GAT,A
6400-1,6,1135975,2/18/2022,08:17:44AM,FKT-4602,PAIFKT-4602,$6.83 ,2,$12.36 ,$24.72 ,$11.06 ,PAI,A
D711,129,620134,2/12/2022,10:45:43AM,G25174-0808X,GATG25174-0808X,$11.88 ,1,$20.12 ,$20.12 ,$8.24 ,GAT,AP
D711,129,620134,2/12/2022,10:45:43AM,94993-3,TLC94993-3,$1.21 ,1,$1.83 ,$1.83 ,$0.62 ,TLC,A
D1013,16,621783,2/25/2022,10:57:50AM,109689CRX,MID109689CRX,$122.68 ,1,$199.99 ,$199.99 ,$77.31 ,MID,AP
D6240,95,620988,2/19/2022,12:01:50PM,960-712D,DOR960-712D,$1.74 ,1,$3.99 ,$3.99 ,$2.25 ,DOR,A
D6240,95,620988,2/19/2022,12:01:50PM,MAF7036,MERMAF7036,$20.53 ,1,$30.23 ,$30.23 ,$9.70 ,MER,AP
D9677,87,618738,2/1/2022,07:45:10AM,AF2-10,KOAAF2-10,$1.30 ,0,$1.98 ,,,KOA,A
4264,88,1136034,2/18/2022,01:52:15PM,MRK4707QH23V,MERMRK4707QH23V,$31.89 ,4,$47.13 ,$188.52 ,$60.96 ,MER,AE
D9677,87,618738,2/1/2022,07:45:10AM,A-0808-FJDH,KOAA-0808-FJDH,$2.02 ,5,$2.46 ,$12.30 ,$2.20 ,KOA,A
4264,88,1136034,2/18/2022,01:52:15PM,SA10101,GTASA10101,$42.70 ,4,$66.47 ,$265.88 ,$95.08 ,GTA,AP
4264,88,1136034,2/18/2022,01:52:15PM,E-BC3030C,EUCE-BC3030C,$33.19 ,4,$48.12 ,$192.48 ,$59.72 ,EUC,AP
D9677,87,618738,2/1/2022,07:45:10AM,AF2-08,KOAAF2-08,$1.21 ,20,$1.57 ,$31.40 ,$7.20 ,KOA,A
D6165,129,620407,2/15/2022,04:58:13PM,9005XSLL,WAG9005XSLL,$2.81 ,2,$4.43 ,$8.86 ,$3.24 ,WAG,AP
D6165,129,620407,2/15/2022,04:58:13PM,70425,GAT70425,$2.53 ,12,$4.56 ,$54.72 ,$24.36 ,GAT,A
D6165,129,620407,2/15/2022,04:58:13PM,84-1037,GRC84-1037,$1.64 ,1,$2.97 ,$2.97 ,$1.33 ,GRC,AP
D6165,129,620407,2/15/2022,04:58:13PM,FXI-2W,SFTFXI-2W,$1.10 ,1,$2.04 ,$2.04 ,$0.94 ,SFT,AP
D6165,129,620407,2/15/2022,04:58:13PM,G25230-0404,GATG25230-0404,$5.02 ,2,$8.16 ,$16.32 ,$6.28 ,GAT,AP
D6165,129,620407,2/15/2022,04:58:13PM,60724-0404,AGA60724-0404,$1.60 ,1,$3.80 ,$3.80 ,$2.20 ,AGA,AP
D6165,129,620407,2/15/2022,04:58:13PM,10158,LUC10158,$2.39 ,1,$3.35 ,$3.35 ,$0.96 ,LUC,AP
D6165,129,620407,2/15/2022,04:58:13PM,10018,LUC10018,$10.66 ,1,$15.99 ,$15.99 ,$5.33 ,LUC,AP
D6165,129,620407,2/15/2022,04:58:13PM,54400,SEL54400,$1.75 ,1,$3.49 ,$3.49 ,$1.74 ,SEL,AP
D0560-1,69,620844,2/18/2022,10:40:53AM,1558,TAC1558,$13.00 ,1,$21.68 ,$21.68 ,$8.68 ,TAC,A
D0560-1,69,620844,2/18/2022,10:40:53AM,42-10353,RCG42-10353,$502.50 ,1,$725.00 ,$725.00 ,$222.50 ,RCG,AP
D0560-1,69,620844,2/18/2022,10:40:53AM,3955,TAC3955,$91.39 ,1,$137.63 ,$137.63 ,$46.24 ,TAC,A
D1965,69,620223,2/14/2022,08:38:55AM,16166,VEL016166,$2.31 ,0,$3.69 ,,,VEL,AP
D1965,69,620223,2/14/2022,08:38:55AM,16680,VEL016680,$3.82 ,5,$6.55 ,$32.75 ,$13.65 ,VEL,AP
D1965,69,620223,2/14/2022,08:38:55AM,16660,VEL016660,$3.02 ,5,$5.52 ,$27.60 ,$12.50 ,VEL,AP
D1965,69,620223,2/14/2022,08:38:55AM,16186,VEL016186,$3.17 ,0,$5.13 ,,,VEL,AP
D1965,69,620223,2/14/2022,08:38:55AM,16620,VEL016620,$5.21 ,2,$8.19 ,$16.38 ,$5.96 ,VEL,AP
D1965,69,620223,2/14/2022,08:38:55AM,16610,VEL016610,$2.21 ,5,$3.63 ,$18.15 ,$7.10 ,VEL,AP
D1965,69,620223,2/14/2022,08:38:55AM,16144,VEL016144,$1.50 ,4,$2.60 ,$10.40 ,$4.40 ,VEL,AP
D1965,69,620223,2/14/2022,08:38:55AM,16264,VEL016264,$2.91 ,5,$4.79 ,$23.95 ,$9.40 ,VEL,AP
