SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
04/01/2022 08:44:13AM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
,,,,,,,,,,,,,
1626-2,74,1142372,3/29/2022,12:27:55PM,44326R,TLC44326R,$14.69 ,1,$19.60 ,$19.60 ,$4.91 ,TLC,AP
3034,15,1141491,3/23/2022,04:07:02PM,14942,VEL014942,$1.73 ,1,$3.63 ,$3.63 ,$1.90 ,VEL,AP
D711,123,624405,3/18/2022,02:29:03PM,AW68P,LCSAW68P,$31.54 ,2,$43.62 ,$87.24 ,$24.16 ,LCS,AP
D711,123,624405,3/18/2022,02:29:03PM,G20230-0808X,GATG20230-0808X,$7.43 ,2,$14.40 ,$28.80 ,$13.94 ,GAT,A
D711,123,624405,3/18/2022,02:29:03PM,ABT4K-08,KOAABT4K-08,$3.28 ,6,$8.14 ,$48.84 ,$29.16 ,KOA,AP
D711,123,624405,3/18/2022,02:29:03PM,G20995-0408X,GATG20995-0408X,$3.43 ,2,$7.09 ,$14.18 ,$7.32 ,GAT,A
9630-1,4,1139182,3/9/2022,08:37:00AM,R59-6114-22B,SPOR59-6114-22B00210,"$1,028.38 ",1,"$1,234.06 ","1,234.06",$205.68 ,SPO,APQT
252,!WEB,1140647,3/18/2022,04:20:41PM,72-15,VEL72-15,$6.68 ,2,$10.94 ,$21.88 ,$8.52 ,VEL,A
252,!WEB,1140647,3/18/2022,04:20:41PM,60700-3,TLC60700-3,$1.34 ,2,$1.74 ,$3.48 ,$0.80 ,TLC,A
D711,123,624735,3/22/2022,05:09:38PM,AN31-24,JIPAN31-24,$2.54 ,2,$5.02 ,$10.04 ,$4.96 ,JIP,A
D3533-1,95,624365,3/18/2022,12:01:48PM,84-2390,GRC84-2390,$1.61 ,1,$3.72 ,$3.72 ,$2.11 ,GRC,A
D3533-1,95,624365,3/18/2022,12:01:48PM,G4002,GRCG4002,$11.65 ,3,$17.64 ,$52.92 ,$17.97 ,GRC,AP
D3533-1,95,624365,3/18/2022,12:01:48PM,21007,VEL021007,$0.14 ,25,$0.85 ,$21.25 ,$17.75 ,VEL,A
D3533-1,95,624365,3/18/2022,12:01:48PM,40700-3,TLC40700-3,$1.07 ,4,$2.46 ,$9.84 ,$5.56 ,TLC,A
D2425-1,87,624049,3/16/2022,,49766,WIX49766,$20.04 ,1,$21.40 ,$21.40 ,$1.36 ,WIX,A
D3533-1,95,624365,3/18/2022,12:01:48PM,67090,GRC67090,$0.97 ,4,$2.52 ,$10.08 ,$6.20 ,GRC,A
D3533-1,95,624365,3/18/2022,12:01:48PM,84-3150,GRC84-3150,$4.17 ,1,$7.56 ,$7.56 ,$3.39 ,GRC,A
D3533-1,95,624365,3/18/2022,12:01:48PM,84-2580,GRC84-2580,$1.58 ,1,$3.72 ,$3.72 ,$2.14 ,GRC,A
D3533-1,95,624365,3/18/2022,12:01:48PM,MW1-Q,HUNMW1-Q,$3.75 ,1,$7.76 ,$7.76 ,$4.01 ,HUN,A
D3533-1,95,624365,3/18/2022,12:01:48PM,10158,LUC10158,$2.39 ,1,$4.14 ,$4.14 ,$1.75 ,LUC,A
4085,105,1141542,3/24/2022,02:04:01PM,106731,KTM106731,$575.00 ,-1,$884.62 ,($884.62),($309.62),KTM,A
4357,13,1141225,3/22/2022,12:03:27PM,TRA-2726,DAYTRA-2726,$72.26 ,2,$90.00 ,$180.00 ,$35.48 ,DAY,AP
2805,74,1139875,3/14/2022,12:11:36PM,10005,LUC10005,$2.92 ,1,$4.38 ,$4.38 ,$1.46 ,LUC,AP
2805,74,1139875,3/14/2022,12:11:36PM,41812,SHL41812,$9.91 ,1,$15.77 ,$15.77 ,$5.86 ,SHL,AP
2805,74,1139875,3/14/2022,12:11:36PM,33651MP,WIX33651MP,$8.43 ,4,$13.82 ,$55.28 ,$21.56 ,WIX,A
2805,74,1139875,3/14/2022,12:11:36PM,18007,VEL018007,$1.01 ,1,$2.50 ,$2.50 ,$1.49 ,VEL,AP
2805,74,1139875,3/14/2022,12:11:36PM,SV404P-10-6,SLNSV404P-10-6,$7.07 ,1,$11.21 ,$11.21 ,$4.14 ,SLN,AP
D2425-1,87,624049,3/16/2022,,51450,WIX51450,$29.27 ,,$37.27 ,,,WIX,A
D2425-1,87,624049,3/16/2022,,33774,WIX33774,$24.17 ,0,$29.34 ,,,WIX,A
D2425-1,87,624049,3/16/2022,,57037,WIX57037,$13.82 ,6,$14.78 ,$88.68 ,$5.76 ,WIX,A
D1949,95,624849,3/23/2022,12:19:10PM,338-454E,DAY338-454E,$30.37 ,1,$49.14 ,$49.14 ,$18.77 ,DAY,A
D9551-1,123,625313,3/28/2022,10:58:17AM,FR152,FLRFR152,$139.83 ,1,$199.00 ,$199.00 ,$59.17 ,FLR,AP
D6450-1,!WEB,1139933,3/14/2022,05:28:22PM,G25239-0606,GATG25239-0606,$9.95 ,2,$16.02 ,$32.04 ,$12.14 ,GAT,A
4866-1,!WEB,1138909,3/8/2022,11:41:18AM,MRK4715QH23S,MERMRK4715QH23S,$41.96 ,2,$55.90 ,$111.80 ,$27.88 ,MER,A
2741,6,1140109,3/15/2022,12:08:03PM,LIS45000,ISNLIS45000,$20.26 ,1,$33.16 ,$33.16 ,$12.90 ,ISN,A
D1035,123,622451,3/2/2022,12:53:27PM,131494,EXC131494,$0.53 ,1,$1.53 ,$1.53 ,$1.00 ,EXC,A
D1035,123,622451,3/2/2022,12:53:27PM,D91080016N,WILD91080016N,$519.18 ,1,$695.24 ,$695.24 ,$176.06 ,WIL,AP
D1035,123,622451,3/2/2022,12:53:27PM,EGS-3890-020,PAIEGS-3890-020,$2.85 ,1,$5.20 ,$5.20 ,$2.35 ,PAI,A
2910,88,1141431,3/23/2022,11:45:02AM,41812,SHL41812,$10.37 ,2,$15.77 ,$31.54 ,$10.80 ,SHL,A
2910,88,1141431,3/23/2022,11:45:02AM,MAF9781,MERMAF9781,$73.44 ,1,$102.12 ,$102.12 ,$28.68 ,MER,AP
5860,64,1141909,3/25/2022,12:32:12PM,10020755,KTM010020755,$189.72 ,1,$287.10 ,$287.10 ,$97.38 ,KTM,AP
1472,15,1141180,3/22/2022,10:38:37AM,181887,EXC181887,$17.67 ,2,$28.42 ,$56.84 ,$21.50 ,EXC,AP
7194-1,88,1141414,3/23/2022,08:34:33AM,CB2100842X,MERCB2100842X,$23.90 ,2,$38.27 ,$76.54 ,$28.74 ,MER,AP
1472,15,1141180,3/22/2022,10:38:37AM,NC3000,LCSNC3000,$5.41 ,2,$7.70 ,$15.40 ,$4.58 ,LCS,AP
3633,85,1142383,3/29/2022,03:08:38PM,51410,WIX51410,$7.21 ,3,$8.22 ,$24.66 ,$3.03 ,WIX,A
3633,85,1142383,3/29/2022,03:08:38PM,46232,WIX46232,$25.66 ,1,$34.35 ,$34.35 ,$8.69 ,WIX,A
3633,85,1142383,3/29/2022,03:08:38PM,51243MP,WIX51243MP,$5.03 ,1,$5.75 ,$5.75 ,$0.72 ,WIX,A
